"Speaker Name","Start Time","End Time","Text"
"Dietmar","00:00:06:10","00:00:10:42","Und noch einen Schluck trinken..."
"[Raum]","00:00:10:42","00:00:45:04","(Geräusche)"
"Michael","00:00:45:04","00:00:48:44","So!"
"Dietmar-Film","00:00:48:44","00:00:53:08","Zuerst lege ich den Programmstreifen ein."
"Dietmar-Film","00:00:53:08","00:01:00:06","(Geräusche)"
"Dietmar-Film","00:01:00:06","00:01:02:26","Das Einlesen des Programms kann jetzt beginnen..."
"Michael","00:01:03:19","00:01:04:10","Hallo Dietmar!"
"Dietmar","00:01:04:10","00:01:05:32","Hallo Michael, sei gegrüßt!"
"Michael","00:01:05:35","00:01:08:09","Wie kamst du auf die Idee, zu zweit eine Diplomarbeit zu machen?"
"Dietmar","00:01:08:09","00:01:11:14","Das haben viele gemacht in unserem... Lehrgang damals."
"Dietmar","00:01:11:14","00:01:16:25","Das hat einen einfachen Effekt: Du bist erst mal nur auf der Suche nach einer Arbeit, die man zu zweit machen kann."
"Dietmar","00:01:16:25","00:01:20:24","Du kannst auch größere Umfänge ableisten: Du kannst also umfangreichere Diplomarbeiten schreiben."
"Dietmar","00:01:21:09","00:01:23:44","Viele Diplomarbeiten bestanden aus einem Praxis- und Theorieanteil..."
"Dietmar","00:01:23:44","00:01:26:49","Man kann sich das besser aufteilen. War ja auch bei uns dann so, zum Teil!"
"Dietmar","00:01:27:22","00:01:29:11","Und... Das war so die Idee!"
"Dietmar","00:01:29:11","00:01:36:21","Wir hatten auch mit älteren Semestern gesprochen, die schon Diplomarbeiten gemacht hatten... Auch unsere Laboringenieure! Das war nicht unüblich, das haben einige Leute gemacht."
"Michael","00:01:36:21","00:01:36:25","MhHm."
"Dietmar","00:01:37:02","00:01:43:47","Und auch das Thema Motivation, wenn du mal einen Hänger hast, zu zweit... Der andere kann einen kurzen Arschtritt geben, auf gut Deutsch! Wenn du mal wieder einen Hänger hast!"
"Michael","00:01:43:47","00:01:43:49","Okay..."
"Dietmar","00:01:44:29","00:01:49:34","Oder hast was hingeschrieben und dann schlechtes Deutsch... Oder irgendwie dich verrannt. Kann der zweite dir helfen!"
"Dietmar","00:01:49:41","00:01:53:48","Also das haben wir auch schon in der Lernphase gemerkt, dass es einfach besser im Team zu arbeiten ist, als alleine!"
"Michael","00:01:53:48","00:01:54:03","MhHm."
"Dietmar","00:01:54:37","00:02:09:28","Und dann kam Professor Harth auf uns zu und hatte dann die Idee: Eine tolle Arbeit auch für zu zweit! Und kannte unseren “Background”, dass wir beide... nicht von der... Rein vom Abitur und Praktikum kamen, sondern wirklich eine Lehre gemacht haben. Also Uschis Lehre war ja auch drei Jahre, oder dreieinhalb..."
"Michael","00:02:09:33","00:02:10:37","Die hat irgendwas mit Optik gemacht?"
"Dietmar","00:02:10:37","00:02:26:17","Optikerin, richtig Optikerin gelernt. Und das wusste der Professor... Und ich glaube, das war auch der Hintergrund, warum auf uns zugekommen ist: Weil er brauchte natürlich jemanden, oder beide, mit einem praktischen Hintergrund. Weil er wusste, die Arbeit wird aus viel... Montage- und Schleif- und Steckarbeiten bestehen."
"Dietmar","00:02:26:17","00:02:31:05","Er hatte einen befreundeten Studienkollegen, der war in der Zwischenzeit bei der GMD: Dr. Schäfer!"
"Michael","00:02:31:28","00:02:33:31","GMD, das ist die Gesellschaft..."
"Dietmar","00:02:33:31","00:02:43:47","für Mathematik und Datenverarbeitung! Die gibt es heute in der Form nicht mehr, ist umbenannt worden. Und die war damals so, die war in der Nähe von Köln, Sankt Augustin bei Bonn."
"Dietmar","00:02:43:47","00:02:46:17","Und da hat er uns direkt einen Termin verschafft, so per Telefon."
"Dietmar","00:02:46:17","00:02:48:19","Und da sind wir dann nachmittags hingefahren..."
"Dietmar","00:02:48:19","00:02:51:33","Und der hat uns dann die eigentliche Arbeit vorgestellt, wie das ablaufen würde."
"Dietmar","00:02:51:33","00:03:02:38","Und da war uns erst mal klar: Okay, das Ganze findet nicht in Köln statt! Es dauert mindestens ein halbes Jahr, oder vielleicht in die Richtung gehend. Es wäre nichts Kurzes mehr!"
"Dietmar","00:03:02:38","00:03:09:40","Und aber direkt auch uns ein Bonbon mitgegeben: Wir kriegen ein gewisses Grundsalär! Und das Wohnen wird von der Stadt Hünfeld übernommen."
"Dietmar","00:03:10:13","00:03:19:40","Und dann haben wir an dem Tag, wo wir nach... Zuse hingefahren sind... Er hat Termine vereinbart in Hünfeld mit Zuse. Sind wir auch noch einmal dorthin gefahren. Und danach sollten wir uns erst entscheiden!"
"Dietmar","00:03:19:40","00:03:29:45","Und wo wir dann da waren und haben Zuse kennengelernt... Sind dann wieder weggefahren nach Köln... Auf der Rückfahrt haben wir uns schon überlegt: Reizt uns! macht Sinn! Probieren wir es!Machen wir! Und dann haben wir unterschrieben und haben die Arbeit angetreten!"
"Michael","00:03:30:15","00:03:32:02","Gut, du warst jetzt kein Informatiker..."
"Michael","00:03:32:02","00:03:32:30","Also, wenn ich..."
